
 *****Load users*****"

26274 function calls (25805 primitive calls) in 0.196 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.000    0.000 common.py:1045(update)
       54    0.000    0.000    0.000    0.000 common.py:1053(cased_key)
       18    0.000    0.000    0.000    0.000 common.py:180(validate_boolean_or_string)
        9    0.000    0.000    0.000    0.000 common.py:487(validate_document_class)
        9    0.000    0.000    0.000    0.000 common.py:539(validate_is_mapping)
        1    0.000    0.000    0.000    0.000 common.py:549(validate_is_document_type)
       27    0.000    0.000    0.000    0.000 common.py:817(validate)
       29    0.000    0.000    0.000    0.000 common.py:890(__init__)
       39    0.000    0.000    0.000    0.000 common.py:919(codec_options)
       21    0.000    0.000    0.000    0.000 common.py:926(write_concern)
        1    0.000    0.000    0.000    0.000 common.py:936(_write_concern_for)
       20    0.000    0.000    0.000    0.000 common.py:943(read_preference)
        9    0.000    0.000    0.000    0.000 common.py:952(_read_preference_for)
       29    0.000    0.000    0.000    0.000 common.py:959(read_concern)
       27    0.000    0.000    0.000    0.000 common.py:970(__init__)
       81    0.000    0.000    0.000    0.000 common.py:975(__contains__)
       36    0.000    0.000    0.000    0.000 common.py:978(__len__)
       45    0.000    0.000    0.000    0.000 common.py:981(__iter__)
      180    0.000    0.000    0.000    0.000 common.py:982(<genexpr>)
       81    0.000    0.000    0.000    0.000 common.py:987(__setitem__)
       72    0.000    0.000    0.000    0.000 common.py:992(__getitem__)
        9    0.000    0.000    0.000    0.000 compression_support.py:101(get_compression_context)
        9    0.000    0.000    0.000    0.000 compression_support.py:97(__init__)
    57/20    0.000    0.000    0.044    0.002 contextlib.py:114(__enter__)
    57/20    0.000    0.000    0.000    0.000 contextlib.py:123(__exit__)
       57    0.000    0.000    0.000    0.000 contextlib.py:261(helper)
       57    0.000    0.000    0.000    0.000 contextlib.py:86(__init__)
   270/27    0.000    0.000    0.001    0.000 copy.py:128(deepcopy)
      189    0.000    0.000    0.000    0.000 copy.py:182(_deepcopy_atomic)
       81    0.000    0.000    0.000    0.000 copy.py:242(_keep_alive)
        9    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
        3    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
       10    0.000    0.000    0.000    0.000 csv.py:107(__next__)
        1    0.000    0.000    0.000    0.000 csv.py:81(__init__)
        1    0.000    0.000    0.000    0.000 csv.py:90(__iter__)
       19    0.000    0.000    0.000    0.000 csv.py:93(fieldnames)
        9    0.000    0.000    0.057    0.006 cursor.py:1045(__send_message)
        9    0.000    0.000    0.000    0.000 cursor.py:1128(_unpack_response)
        9    0.000    0.000    0.000    0.000 cursor.py:1138(_read_preference)
        9    0.000    0.000    0.068    0.008 cursor.py:1144(_refresh)
        9    0.000    0.000    0.000    0.000 cursor.py:1247(session)
        9    0.000    0.000    0.000    0.000 cursor.py:1257(__iter__)
        9    0.000    0.000    0.068    0.008 cursor.py:1260(next)
        9    0.000    0.000    0.000    0.000 cursor.py:171(__init__)
        9    0.000    0.000    0.000    0.000 cursor.py:334(__del__)
       18    0.000    0.000    0.000    0.000 cursor.py:412(__die)
        9    0.000    0.000    0.000    0.000 cursor.py:441(close)
        9    0.000    0.000    0.000    0.000 cursor.py:445(__query_spec)
        9    0.000    0.000    0.000    0.000 cursor.py:502(__check_okay_to_chain)
        9    0.000    0.000    0.000    0.000 cursor.py:565(limit)
        9    0.000    0.000    0.000    0.000 cursor.py:936(__set_hint)
       57    0.000    0.000    0.000    0.000 database.py:146(client)
       29    0.000    0.000    0.000    0.000 database.py:151(name)
       10    0.000    0.000    0.000    0.000 database.py:217(__getattr__)
       10    0.000    0.000    0.000    0.000 database.py:232(__getitem__)
       10    0.000    0.000    0.000    0.000 database.py:59(_check_name)
       10    0.000    0.000    0.000    0.000 database.py:75(__init__)
       18    0.000    0.000    0.000    0.000 enum.py:358(__call__)
       18    0.000    0.000    0.000    0.000 enum.py:670(__new__)
        9    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
       18    0.000    0.000    0.000    0.000 hello.py:112(tags)
       18    0.000    0.000    0.000    0.000 hello.py:117(primary)
       18    0.000    0.000    0.000    0.000 hello.py:125(replica_set_name)
       54    0.000    0.000    0.000    0.000 hello.py:130(max_bson_size)
       27    0.000    0.000    0.000    0.000 hello.py:134(max_message_size)
       27    0.000    0.000    0.000    0.000 hello.py:138(max_write_batch_size)
       18    0.000    0.000    0.000    0.000 hello.py:142(min_wire_version)
       27    0.000    0.000    0.000    0.000 hello.py:146(max_wire_version)
       18    0.000    0.000    0.000    0.000 hello.py:150(set_version)
       18    0.000    0.000    0.000    0.000 hello.py:154(election_id)
       18    0.000    0.000    0.000    0.000 hello.py:158(cluster_time)
       27    0.000    0.000    0.000    0.000 hello.py:162(logical_session_timeout_minutes)
       27    0.000    0.000    0.000    0.000 hello.py:166(is_writable)
       18    0.000    0.000    0.000    0.000 hello.py:170(is_readable)
       18    0.000    0.000    0.000    0.000 hello.py:174(me)
       18    0.000    0.000    0.000    0.000 hello.py:181(last_write_date)
        9    0.000    0.000    0.000    0.000 hello.py:185(compressors)
       18    0.000    0.000    0.000    0.000 hello.py:206(topology_version)
        9    0.000    0.000    0.000    0.000 hello.py:218(hello_ok)
       27    0.000    0.000    0.000    0.000 hello.py:37(_get_server_type)
       27    0.000    0.000    0.000    0.000 hello.py:73(__init__)
       72    0.000    0.000    0.000    0.000 hello.py:94(server_type)
       18    0.000    0.000    0.000    0.000 hello.py:98(all_hosts)
       28    0.000    0.000    0.000    0.000 helpers.py:166(_check_command_response)
        1    0.000    0.000    0.000    0.000 helpers.py:249(_get_wce_doc)
        1    0.000    0.000    0.000    0.000 helpers.py:261(_check_write_command_response)
       28    0.000    0.000    0.026    0.001 helpers.py:316(inner)
        9    0.000    0.000    0.000    0.000 idna.py:147(encode)
      108    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
      108    0.000    0.000    0.002    0.000 linecache.py:26(getline)
      108    0.000    0.000    0.002    0.000 linecache.py:36(getlines)
       81    0.000    0.000    0.100    0.001 linecache.py:52(checkcache)
       17    0.000    0.000    0.002    0.000 linecache.py:80(updatecache)
       81    0.000    0.000    0.000    0.000 lock.py:26(_create_lock)
        1    0.000    0.000    0.000    0.000 main.py:21(get_file)
        1    0.000    0.000    0.196    0.196 main.py:58(load_users)
        9    0.000    0.000    0.000    0.000 message.py:1462(__init__)
        9    0.000    0.000    0.000    0.000 message.py:1468(raw_response)
        9    0.000    0.000    0.000    0.000 message.py:1513(unpack_response)
        9    0.000    0.000    0.000    0.000 message.py:1554(more_to_come)
        9    0.000    0.000    0.000    0.000 message.py:1559(unpack)
       19    0.000    0.000    0.000    0.000 message.py:1582(__init__)
       19    0.000    0.000    0.000    0.000 message.py:1600(unpack_response)
       10    0.000    0.000    0.000    0.000 message.py:1629(more_to_come)
       19    0.000    0.000    0.000    0.000 message.py:1634(unpack)
        9    0.000    0.000    0.000    0.000 message.py:207(_gen_find_command)
        9    0.000    0.000    0.000    0.000 message.py:305(__init__)
        9    0.000    0.000    0.000    0.000 message.py:343(reset)
        9    0.000    0.000    0.000    0.000 message.py:346(namespace)
        9    0.000    0.000    0.000    0.000 message.py:349(use_command)
        9    0.000    0.000    0.001    0.000 message.py:365(as_command)
        9    0.000    0.000    0.001    0.000 message.py:409(get_message)
       19    0.000    0.000    0.000    0.000 message.py:737(_op_msg)
        9    0.000    0.000    0.000    0.000 message.py:839(_query)
       30    0.000    0.000    0.000    0.000 mongo_client.py:1174(options)
        9    0.000    0.000    0.003    0.000 mongo_client.py:1185(_end_sessions)
        9    0.000    0.000    0.004    0.000 mongo_client.py:1205(close)
       55    0.000    0.000    0.007    0.000 mongo_client.py:1232(_get_topology)
       38    0.000    0.000    0.044    0.001 mongo_client.py:1243(_checkout)
       19    0.000    0.000    0.001    0.000 mongo_client.py:1275(_select_server)
       36    0.000    0.000    0.044    0.001 mongo_client.py:1316(_conn_from_server)
        9    0.000    0.000    0.000    0.000 mongo_client.py:1341(_conn_for_reads)
        9    0.000    0.000    0.000    0.000 mongo_client.py:1349(_should_pin_cursor)
        9    0.000    0.000    0.057    0.006 mongo_client.py:1352(_run_operation)
        9    0.000    0.000    0.013    0.001 mongo_client.py:1383(_cmd)
        1    0.000    0.000    0.009    0.009 mongo_client.py:1402(_retry_with_session)
       10    0.000    0.000    0.066    0.007 mongo_client.py:1428(_retry_internal)
        9    0.000    0.000    0.057    0.006 mongo_client.py:1464(_retryable_read)
        1    0.000    0.000    0.009    0.009 mongo_client.py:1502(_retryable_write)
       10    0.000    0.000    0.000    0.000 mongo_client.py:1572(__getattr__)
        9    0.000    0.000    0.113    0.013 mongo_client.py:158(__init__)
       10    0.000    0.000    0.000    0.000 mongo_client.py:1588(__getitem__)
       18    0.000    0.000    0.000    0.000 mongo_client.py:1599(_cleanup_cursor)
        9    0.000    0.000    0.000    0.000 mongo_client.py:1709(_process_kill_cursors)
       10    0.000    0.000    0.010    0.001 mongo_client.py:1763(__start_session)
       10    0.000    0.000    0.000    0.000 mongo_client.py:1807(_return_server_session)
       10    0.000    0.000    0.010    0.001 mongo_client.py:1815(_ensure_session)
        2    0.000    0.000    0.000    0.000 mongo_client.py:1828(_tmp_session)
       19    0.000    0.000    0.000    0.000 mongo_client.py:1858(_send_cluster_time)
       19    0.000    0.000    0.000    0.000 mongo_client.py:1873(_process_response)
       19    0.000    0.000    0.000    0.000 mongo_client.py:2205(__init__)
       28    0.000    0.000    0.000    0.000 mongo_client.py:2219(contribute_socket)
       19    0.000    0.000    0.000    0.000 mongo_client.py:2226(handle)
       19    0.000    0.000    0.000    0.000 mongo_client.py:2252(__enter__)
       19    0.000    0.000    0.000    0.000 mongo_client.py:2255(__exit__)
       10    0.000    0.000    0.000    0.000 mongo_client.py:2267(__init__)
       10    0.000    0.000    0.066    0.007 mongo_client.py:2295(run)
       11    0.000    0.000    0.000    0.000 mongo_client.py:2366(_is_retrying)
       10    0.000    0.000    0.000    0.000 mongo_client.py:2370(_is_session_state_retryable)
       11    0.000    0.000    0.000    0.000 mongo_client.py:2380(_check_last_error)
       10    0.000    0.000    0.000    0.000 mongo_client.py:2393(_get_server)
        1    0.000    0.000    0.009    0.009 mongo_client.py:2403(_write)
        9    0.000    0.000    0.057    0.006 mongo_client.py:2430(_read)
        9    0.000    0.000    0.000    0.000 mongo_client.py:758(<listcomp>)
       36    0.000    0.000    0.000    0.000 mongo_client.py:806(<genexpr>)
        9    0.000    0.000    0.001    0.000 mongo_client.py:875(_init_background)
        9    0.000    0.000    0.113    0.013 mongo_connect.py:40(__enter__)
        9    0.000    0.000    0.004    0.000 mongo_connect.py:48(__exit__)
        9    0.000    0.000    0.196    0.022 mongo_connect.py:86(insert_to_db)
        9    0.000    0.000    0.000    0.000 monitor.py:104(request_check)
        9    0.000    0.000    0.001    0.000 monitor.py:110(__init__)
       17    0.000    0.000    0.000    0.000 monitor.py:149(cancel_check)
       17    0.000    0.000    0.000    0.000 monitor.py:171(gc_safe_close)
        9    0.000    0.000    0.001    0.000 monitor.py:176(close)
        9    0.000    0.000    0.000    0.000 monitor.py:183(_reset_connection)
        9    0.000    0.000    0.000    0.000 monitor.py:374(__init__)
        9    0.000    0.000    0.000    0.000 monitor.py:391(close)
       18    0.000    0.000    0.000    0.000 monitor.py:443(_register)
       18    0.000    0.000    0.000    0.000 monitor.py:49(__init__)
       16    0.000    0.000    0.000    0.000 monitor.py:70(_on_topology_gc)
       73    0.000    0.000    0.003    0.000 monitor.py:82(open)
       34    0.000    0.000    0.000    0.000 monitor.py:89(gc_safe_close)
        9    0.000    0.000    0.000    0.000 monitoring.py:1429(__init__)
       19    0.000    0.000    0.000    0.000 monitoring.py:1454(enabled_for_commands)
       18    0.000    0.000    0.000    0.000 monitoring.py:1459(enabled_for_server)
        9    0.000    0.000    0.000    0.000 monitoring.py:1464(enabled_for_server_heartbeat)
        9    0.000    0.000    0.000    0.000 monitoring.py:1469(enabled_for_topology)
        9    0.000    0.000    0.000    0.000 monitoring.py:1474(enabled_for_cmap)
       28    0.000    0.000    0.023    0.001 network.py:244(receive_message)
       56    0.000    0.000    0.000    0.000 network.py:291(wait_for_read)
       56    0.000    0.000    0.023    0.000 network.py:328(_receive_data_on_socket)
       19    0.000    0.000    0.013    0.001 network.py:63(command)
        9    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
        9    0.000    0.000    0.000    0.000 ntpath.py:180(split)
        9    0.000    0.000    0.000    0.000 ntpath.py:203(splitext)
        9    0.000    0.000    0.000    0.000 ntpath.py:214(basename)
        9    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
        9    0.000    0.000    0.000    0.000 ntpath.py:44(normcase)
       10    0.000    0.000    0.000    0.000 objectid.py:158(_random)
       10    0.000    0.000    0.000    0.000 objectid.py:167(__generate)
        1    0.000    0.000    0.000    0.000 objectid.py:205(binary)
       27    0.000    0.000    0.000    0.000 objectid.py:60(__init__)
        1    0.000    0.000    0.000    0.000 os.py:282(walk)
        2    0.000    0.000    0.000    0.000 os.py:344(_walk)
      216    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
      216    0.000    0.000    0.000    0.000 os.py:740(check_str)
      216    0.000    0.000    0.000    0.000 os.py:746(encodekey)
      216    0.000    0.000    0.001    0.000 os.py:771(getenv)
        9    0.000    0.000    0.000    0.000 periodic_executor.py:113(wake)
       18    0.000    0.000    0.000    0.000 periodic_executor.py:164(_register_executor)
       27    0.000    0.000    0.000    0.000 periodic_executor.py:28(__init__)
      128    0.000    0.000    0.004    0.000 periodic_executor.py:64(open)
       68    0.000    0.000    0.000    0.000 periodic_executor.py:97(close)
        9    0.000    0.000    0.011    0.001 pool.py:1014(receive_message)
       10    0.000    0.000    0.000    0.000 pool.py:1024(_raise_if_not_writable)
        9    0.000    0.000    0.000    0.000 pool.py:1063(authenticate)
       28    0.000    0.000    0.000    0.000 pool.py:1084(validate_session)
       17    0.000    0.000    0.000    0.000 pool.py:1095(close_conn)
       17    0.000    0.000    0.000    0.000 pool.py:1104(_close_conn)
       28    0.000    0.000    0.000    0.000 pool.py:1122(send_cluster_time)
       28    0.000    0.000    0.000    0.000 pool.py:1132(add_server_api)
       19    0.000    0.000    0.000    0.000 pool.py:1137(update_last_checkin_time)
       19    0.000    0.000    0.000    0.000 pool.py:1140(update_is_writable)
       10    0.000    0.000    0.000    0.000 pool.py:1143(idle_time_seconds)
       19    0.000    0.000    0.000    0.000 pool.py:1181(__hash__)
        9    0.000    0.000    0.000    0.000 pool.py:119(_set_non_inheritable_non_atomic)
        9    0.000    0.000    0.039    0.004 pool.py:1192(_create_connection)
        9    0.000    0.000    0.039    0.004 pool.py:1263(_configured_socket)
       27    0.000    0.000    0.000    0.000 pool.py:1319(__init__)
       29    0.000    0.000    0.000    0.000 pool.py:1325(get)
       28    0.000    0.000    0.000    0.000 pool.py:1331(get_overall)
       27    0.000    0.000    0.000    0.000 pool.py:1335(inc)
       29    0.000    0.000    0.000    0.000 pool.py:1344(stale)
       27    0.000    0.000    0.000    0.000 pool.py:1358(__init__)
       65    0.000    0.000    0.000    0.000 pool.py:1435(closed)
       27    0.000    0.000    0.001    0.000 pool.py:1439(_reset)
       18    0.000    0.000    0.001    0.000 pool.py:1499(reset)
        9    0.000    0.000    0.000    0.000 pool.py:1502(reset_without_pause)
       29    0.000    0.000    0.000    0.000 pool.py:1508(stale_generation)
        9    0.000    0.000    0.000    0.000 pool.py:155(_set_keepalive_times)
        9    0.000    0.000    0.043    0.005 pool.py:1567(connect)
       38    0.000    0.000    0.044    0.001 pool.py:1614(checkout)
       38    0.000    0.000    0.000    0.000 pool.py:1669(_raise_if_not_ready)
       19    0.000    0.000    0.043    0.002 pool.py:1681(_get_conn)
       19    0.000    0.000    0.000    0.000 pool.py:1781(checkin)
       10    0.000    0.000    0.000    0.000 pool.py:1832(_perished)
        8    0.000    0.000    0.000    0.000 pool.py:1895(__del__)
       36    0.000    0.000    0.000    0.000 pool.py:272(_is_lambda)
       36    0.000    0.000    0.000    0.000 pool.py:281(_is_azure_func)
       36    0.000    0.000    0.000    0.000 pool.py:285(_is_gcp_func)
       36    0.000    0.000    0.000    0.000 pool.py:289(_is_vercel)
        9    0.000    0.000    0.000    0.000 pool.py:293(_is_faas)
       27    0.000    0.000    0.001    0.000 pool.py:308(_metadata_env)
       27    0.000    0.000    0.000    0.000 pool.py:346(_truncate_metadata)
       27    0.000    0.000    0.002    0.000 pool.py:479(__init__)
       18    0.000    0.000    0.000    0.000 pool.py:548(_credentials)
       27    0.000    0.000    0.000    0.000 pool.py:574(max_pool_size)
       27    0.000    0.000    0.000    0.000 pool.py:596(max_connecting)
       54    0.000    0.000    0.000    0.000 pool.py:603(pause_enabled)
       10    0.000    0.000    0.000    0.000 pool.py:607(max_idle_time_seconds)
       45    0.000    0.000    0.000    0.000 pool.py:615(connect_timeout)
       37    0.000    0.000    0.000    0.000 pool.py:620(socket_timeout)
       19    0.000    0.000    0.000    0.000 pool.py:625(wait_queue_timeout)
       27    0.000    0.000    0.000    0.000 pool.py:632(_ssl_context)
       18    0.000    0.000    0.000    0.000 pool.py:637(tls_allow_invalid_hostnames)
      146    0.000    0.000    0.000    0.000 pool.py:642(_event_listeners)
       18    0.000    0.000    0.000    0.000 pool.py:647(appname)
       18    0.000    0.000    0.000    0.000 pool.py:652(driver)
        9    0.000    0.000    0.000    0.000 pool.py:657(_compression_settings)
        9    0.000    0.000    0.000    0.000 pool.py:661(metadata)
       55    0.000    0.000    0.000    0.000 pool.py:666(server_api)
      100    0.000    0.000    0.000    0.000 pool.py:671(load_balanced)
       25    0.000    0.000    0.000    0.000 pool.py:681(cancel)
        9    0.000    0.000    0.000    0.000 pool.py:701(__init__)
       19    0.000    0.000    0.000    0.000 pool.py:751(set_conn_timeout)
       19    0.000    0.000    0.000    0.000 pool.py:758(apply_timeout)
        9    0.000    0.000    0.000    0.000 pool.py:804(hello_cmd)
        9    0.000    0.000    0.004    0.000 pool.py:813(hello)
        9    0.000    0.000    0.004    0.000 pool.py:816(_hello)
       19    0.000    0.000    0.014    0.001 pool.py:907(command)
        9    0.000    0.000    0.000    0.000 pool.py:998(send_message)
        9    0.000    0.000    0.000    0.000 read_concern.py:35(__init__)
        9    0.000    0.000    0.000    0.000 read_concern.py:41(level)
        9    0.000    0.000    0.000    0.000 read_preferences.py:110(__init__)
       28    0.000    0.000    0.000    0.000 read_preferences.py:145(mode)
       18    0.000    0.000    0.000    0.000 read_preferences.py:204(min_wire_version)
        9    0.000    0.000    0.000    0.000 read_preferences.py:274(__init__)
        9    0.000    0.000    0.000    0.000 read_preferences.py:511(make_read_preference)
